Instance,Classical,QAOA,ConstraintGen,QAOA_Percentage,CG_Percentage
1,194.0,0.0,194.0,0.0,100.0
2,253.0,0.0,253.0,0.0,100.0
3,178.0,208.0,237.0,85.57692307692307,75.10548523206751
4,152.0,0.0,0.0,0.0,0.0
5,168.0,0.0,208.0,0.0,80.76923076923077
6,296.0,0.0,0.0,0.0,0.0
7,210.0,210.0,214.0,100.0,98.13084112149532
8,116.0,0.0,271.0,0.0,42.80442804428044
9,230.0,0.0,278.0,0.0,82.73381294964028
10,366.0,0.0,366.0,0.0,100.0
11,255.0,0.0,328.0,0.0,77.7439024390244
12,249.99999999999997,0.0,0.0,0.0,0.0
13,215.00000000000003,0.0,215.0,0.0,100.00000000000003
14,238.0,0.0,238.0,0.0,100.0
15,220.0,0.0,0.0,0.0,0.0
16,198.0,0.0,389.0,0.0,50.899742930591266
17,206.0,0.0,358.0,0.0,57.54189944134078
18,198.0,0.0,250.0,0.0,79.2
19,123.0,0.0,166.0,0.0,74.09638554216868
20,198.0,242.0,0.0,81.81818181818183,0.0
21,200.0,200.0,200.0,100.0,100.0
22,149.00000000000003,0.0,384.0,0.0,38.80208333333334
23,114.0,114.0,0.0,100.0,0.0
24,278.0,0.0,348.0,0.0,79.88505747126436
25,183.0,0.0,183.0,0.0,100.0
26,166.0,166.0,0.0,100.0,0.0
27,68.0,0.0,68.0,0.0,100.0
28,220.0,0.0,273.0,0.0,80.58608058608058
29,190.0,226.0,226.0,84.070796460177,84.070796460177
30,122.0,0.0,171.0,0.0,71.34502923976608
31,159.99999999999997,0.0,409.0,0.0,39.11980440097798
32,233.99999999999997,0.0,0.0,0.0,0.0
33,197.0,0.0,197.0,0.0,100.0
34,141.0,238.0,141.0,59.2436974789916,100.0
35,272.0,281.0,272.0,96.79715302491103,100.0
36,245.0,0.0,245.0,0.0,100.0
37,182.0,0.0,314.0,0.0,57.961783439490446
38,128.0,0.0,155.0,0.0,82.58064516129032
39,148.0,0.0,148.0,0.0,100.0
40,281.0,0.0,343.0,0.0,81.92419825072886
41,174.0,0.0,241.0,0.0,72.19917012448133
42,166.0,0.0,0.0,0.0,0.0
43,127.0,0.0,193.0,0.0,65.80310880829016
44,133.0,0.0,0.0,0.0,0.0
45,155.0,0.0,0.0,0.0,0.0
46,153.0,153.0,0.0,100.0,0.0
47,223.0,0.0,0.0,0.0,0.0
48,208.0,0.0,0.0,0.0,0.0
49,118.0,0.0,0.0,0.0,0.0
50,200.0,0.0,200.0,0.0,100.0
51,218.0,0.0,0.0,0.0,0.0
52,238.0,0.0,0.0,0.0,0.0
53,170.0,0.0,170.0,0.0,100.0
54,226.0,0.0,226.0,0.0,100.0
55,123.0,0.0,0.0,0.0,0.0
56,90.0,0.0,90.0,0.0,100.0
57,200.0,0.0,200.0,0.0,100.0
58,212.0,0.0,0.0,0.0,0.0
59,274.0,0.0,316.0,0.0,86.70886075949366
60,189.0,0.0,189.0,0.0,100.0
61,320.0,0.0,320.0,0.0,100.0
62,207.0,0.0,243.0,0.0,85.18518518518519
63,69.0,0.0,236.0,0.0,29.23728813559322
64,200.0,0.0,200.0,0.0,100.0
65,249.0,0.0,0.0,0.0,0.0
66,116.0,0.0,116.0,0.0,100.0
67,111.0,0.0,179.0,0.0,62.01117318435754
68,285.0,0.0,285.0,0.0,100.0
69,280.0,280.0,280.0,100.0,100.0
70,202.0,0.0,202.0,0.0,100.0
71,396.0,0.0,0.0,0.0,0.0
72,186.99999999999997,0.0,187.0,0.0,99.99999999999999
73,107.00000000000001,0.0,303.0,0.0,35.31353135313532
74,165.99999999999997,277.0,166.0,59.927797833935,99.99999999999997
75,122.0,0.0,179.0,0.0,68.15642458100558
76,151.0,0.0,0.0,0.0,0.0
77,204.0,0.0,335.0,0.0,60.895522388059696
78,270.99999999999994,0.0,0.0,0.0,0.0
79,221.0,0.0,0.0,0.0,0.0
80,291.0,0.0,291.0,0.0,100.0
81,235.0,0.0,0.0,0.0,0.0
82,255.00000000000003,0.0,440.0,0.0,57.95454545454546
83,208.0,0.0,0.0,0.0,0.0
84,167.0,0.0,167.0,0.0,100.0
85,165.0,0.0,0.0,0.0,0.0
86,161.0,0.0,241.0,0.0,66.80497925311202
87,232.0,0.0,425.0,0.0,54.58823529411765
88,224.99999999999997,0.0,0.0,0.0,0.0
89,72.0,0.0,127.0,0.0,56.69291338582677
90,154.00000000000003,0.0,154.0,0.0,100.00000000000003
91,189.00000000000003,0.0,189.0,0.0,100.00000000000003
92,279.0,0.0,0.0,0.0,0.0
93,202.0,0.0,267.0,0.0,75.65543071161048
94,243.0,0.0,299.0,0.0,81.27090301003345
95,80.0,0.0,80.0,0.0,100.0
96,188.99999999999997,0.0,189.0,0.0,99.99999999999999
97,192.0,0.0,0.0,0.0,0.0
98,115.0,0.0,214.0,0.0,53.73831775700935
99,273.0,0.0,273.0,0.0,100.0
100,169.0,0.0,217.0,0.0,77.88018433179722
