Instance,Classical,QAOA,ConstraintGen,QAOA_Percentage,CG_Percentage
1,51.0,105.0,51.0,48.57142857142857,100.0
2,58.0,0.0,98.0,0.0,59.183673469387756
3,23.0,0.0,74.0,0.0,31.08108108108108
4,74.0,100.0,100.0,74.0,74.0
5,88.0,144.0,88.0,61.111111111111114,100.0
6,43.0,0.0,105.0,0.0,40.95238095238095
7,18.0,18.0,18.0,100.0,100.0
8,16.0,0.0,0.0,0.0,0.0
9,125.0,0.0,127.0,0.0,98.4251968503937
10,58.0,0.0,170.0,0.0,34.11764705882353
11,52.0,95.0,95.0,54.736842105263165,54.736842105263165
12,58.0,0.0,58.0,0.0,100.0
13,41.0,0.0,41.0,0.0,100.0
14,36.0,0.0,49.0,0.0,73.46938775510205
15,17.0,0.0,17.0,0.0,100.0
16,88.0,0.0,124.0,0.0,70.96774193548387
17,36.0,0.0,0.0,0.0,0.0
18,69.0,0.0,69.0,0.0,100.0
19,64.0,0.0,64.0,0.0,100.0
20,48.0,0.0,90.0,0.0,53.333333333333336
21,85.0,0.0,93.0,0.0,91.39784946236558
22,42.0,42.0,42.0,100.0,100.0
23,52.0,0.0,52.0,0.0,100.0
24,43.0,0.0,85.0,0.0,50.588235294117645
25,67.0,0.0,78.0,0.0,85.8974358974359
26,62.0,0.0,63.0,0.0,98.4126984126984
27,74.0,180.0,180.0,41.11111111111111,41.11111111111111
28,52.0,52.0,104.0,100.0,50.0
29,40.0,0.0,162.0,0.0,24.691358024691358
30,13.0,0.0,0.0,0.0,0.0
31,85.0,122.0,122.0,69.67213114754098,69.67213114754098
32,6.0,0.0,6.0,0.0,100.0
33,73.0,0.0,0.0,0.0,0.0
34,35.0,0.0,110.0,0.0,31.818181818181817
35,38.0,0.0,113.0,0.0,33.6283185840708
36,62.0,152.0,105.0,40.78947368421053,59.04761904761905
37,8.0,0.0,8.0,0.0,100.0
38,31.0,169.0,31.0,18.34319526627219,100.0
39,14.0,0.0,81.0,0.0,17.28395061728395
40,75.0,0.0,105.0,0.0,71.42857142857143
41,97.0,0.0,115.0,0.0,84.34782608695653
42,50.0,50.0,50.0,100.0,100.0
43,96.0,144.0,112.0,66.66666666666666,85.71428571428571
44,39.0,0.0,0.0,0.0,0.0
45,19.0,19.0,69.0,100.0,27.536231884057973
46,49.0,110.0,49.0,44.54545454545455,100.0
47,47.0,0.0,47.0,0.0,100.0
48,26.0,0.0,115.0,0.0,22.608695652173914
49,71.0,0.0,71.0,0.0,100.0
50,67.0,0.0,114.0,0.0,58.77192982456141
51,46.0,46.0,46.0,100.0,100.0
52,55.0,0.0,89.0,0.0,61.79775280898876
53,43.0,119.0,43.0,36.134453781512605,100.0
54,70.0,0.0,0.0,0.0,0.0
55,33.0,105.0,33.0,31.428571428571427,100.0
56,16.0,0.0,149.0,0.0,10.738255033557047
57,23.0,0.0,0.0,0.0,0.0
58,61.0,72.0,72.0,84.72222222222221,84.72222222222221
59,70.0,0.0,70.0,0.0,100.0
60,115.0,120.0,129.0,95.83333333333334,89.14728682170544
61,90.0,0.0,131.0,0.0,68.70229007633588
62,38.0,0.0,38.0,0.0,100.0
63,50.0,0.0,131.0,0.0,38.16793893129771
64,55.0,55.0,0.0,100.0,0.0
65,50.0,0.0,67.0,0.0,74.6268656716418
66,73.0,0.0,98.0,0.0,74.48979591836735
67,12.0,0.0,12.0,0.0,100.0
68,47.0,0.0,0.0,0.0,0.0
69,52.0,0.0,140.0,0.0,37.142857142857146
70,66.0,106.0,0.0,62.264150943396224,0.0
71,82.0,0.0,130.0,0.0,63.07692307692307
72,69.0,165.0,120.0,41.81818181818181,57.49999999999999
73,42.0,42.0,77.0,100.0,54.54545454545454
74,28.0,0.0,56.0,0.0,50.0
75,75.0,0.0,75.0,0.0,100.0
76,31.0,0.0,164.0,0.0,18.902439024390244
77,38.0,0.0,73.0,0.0,52.054794520547944
78,66.0,0.0,66.0,0.0,100.0
79,40.0,40.0,85.0,100.0,47.05882352941176
80,112.0,112.0,0.0,100.0,0.0
81,69.0,0.0,119.0,0.0,57.98319327731093
82,60.0,0.0,133.0,0.0,45.11278195488722
83,36.0,36.0,191.0,100.0,18.848167539267017
84,57.0,90.0,90.0,63.33333333333333,63.33333333333333
85,48.0,140.0,142.0,34.285714285714285,33.80281690140845
86,85.0,85.0,102.0,100.0,83.33333333333334
87,64.0,64.0,133.0,100.0,48.1203007518797
88,80.0,0.0,86.0,0.0,93.02325581395348
89,13.0,0.0,117.0,0.0,11.11111111111111
90,87.0,0.0,0.0,0.0,0.0
91,96.0,96.0,96.0,100.0,100.0
92,17.0,167.0,116.0,10.179640718562874,14.655172413793101
93,53.0,0.0,0.0,0.0,0.0
94,46.0,0.0,0.0,0.0,0.0
95,42.0,125.0,104.0,33.6,40.38461538461539
96,81.0,111.0,0.0,72.97297297297297,0.0
97,21.0,0.0,21.0,0.0,100.0
98,62.0,0.0,100.0,0.0,62.0
99,60.0,0.0,0.0,0.0,0.0
100,49.0,49.0,135.0,100.0,36.2962962962963
