Instance,Classical,QAOA,ConstraintGen,QAOA_Percentage,CG_Percentage
1,142.0,142.0,170.0,100.0,83.52941176470588
2,151.0,151.0,151.0,100.0,100.0
3,239.0,239.0,247.0,100.0,96.76113360323887
4,65.0,297.0,297.0,21.885521885521886,21.885521885521886
5,132.0,0.0,132.0,0.0,100.0
6,43.0,0.0,151.0,0.0,28.47682119205298
7,157.0,157.0,157.0,100.0,100.0
8,147.0,0.0,147.0,0.0,100.0
9,229.0,257.0,229.0,89.10505836575877,100.0
10,135.0,135.0,135.0,100.0,100.0
11,89.0,89.0,120.0,100.0,74.16666666666667
12,155.0,155.0,261.0,100.0,59.38697318007663
13,67.0,131.0,67.0,51.14503816793893,100.0
14,84.99999999999999,0.0,204.0,0.0,41.66666666666666
15,172.0,172.0,172.0,100.0,100.0
16,38.99999999999999,0.0,172.0,0.0,22.67441860465116
17,240.0,0.0,250.0,0.0,96.0
18,179.0,179.0,179.0,100.0,100.0
19,102.0,129.0,102.0,79.06976744186046,100.0
20,177.0,177.0,241.0,100.0,73.44398340248964
21,187.0,212.0,187.0,88.20754716981132,100.0
22,143.0,0.0,143.0,0.0,100.0
23,164.0,164.0,164.0,100.0,100.0
24,78.99999999999999,79.0,139.0,99.99999999999997,56.83453237410071
25,204.0,293.0,204.0,69.6245733788396,100.0
26,150.0,150.0,150.0,100.0,100.0
27,86.0,86.0,140.0,100.0,61.42857142857143
28,124.0,124.0,124.0,100.0,100.0
29,154.0,0.0,154.0,0.0,100.0
30,40.00000000000002,203.0,203.0,19.704433497536954,19.704433497536954
31,128.0,148.0,148.0,86.48648648648648,86.48648648648648
32,202.0,202.0,268.0,100.0,75.3731343283582
33,154.0,154.0,154.0,100.0,100.0
34,95.0,95.0,182.0,100.0,52.197802197802204
35,78.0,78.0,131.0,100.0,59.541984732824424
36,173.99999999999997,0.0,188.0,0.0,92.55319148936168
37,161.0,161.0,161.0,100.0,100.0
38,61.0,61.0,187.0,100.0,32.62032085561498
39,113.99999999999999,114.0,240.0,99.99999999999999,47.49999999999999
40,105.99999999999999,0.0,106.0,0.0,99.99999999999999
41,187.0,0.0,228.0,0.0,82.01754385964912
42,88.0,0.0,107.0,0.0,82.2429906542056
43,83.00000000000001,83.0,225.0,100.00000000000003,36.88888888888889
44,78.0,78.0,78.0,100.0,100.0
45,91.0,147.0,91.0,61.904761904761905,100.0
46,90.0,90.0,90.0,100.0,100.0
47,152.0,0.0,152.0,0.0,100.0
48,104.0,122.0,122.0,85.24590163934425,85.24590163934425
49,151.0,0.0,151.0,0.0,100.0
50,198.0,199.0,198.0,99.49748743718592,100.0
51,172.0,172.0,210.0,100.0,81.9047619047619
52,119.0,119.0,119.0,100.0,100.0
53,234.0,234.0,234.0,100.0,100.0
54,131.0,133.0,131.0,98.49624060150376,100.0
55,85.0,85.0,85.0,100.0,100.0
56,128.0,128.0,128.0,100.0,100.0
57,88.00000000000003,88.0,171.0,100.00000000000003,51.46198830409359
58,95.0,95.0,95.0,100.0,100.0
59,175.0,175.0,175.0,100.0,100.0
60,237.0,237.0,250.0,100.0,94.8
61,113.0,0.0,113.0,0.0,100.0
62,84.0,84.0,84.0,100.0,100.0
63,200.00000000000003,222.0,222.0,90.0900900900901,90.0900900900901
64,194.0,194.0,239.0,100.0,81.17154811715481
65,172.0,0.0,172.0,0.0,100.0
66,106.0,0.0,307.0,0.0,34.527687296416936
67,174.0,174.0,174.0,100.0,100.0
68,158.0,158.0,158.0,100.0,100.0
69,135.0,135.0,135.0,100.0,100.0
70,98.0,0.0,98.0,0.0,100.0
71,96.0,166.0,96.0,57.831325301204814,100.0
72,148.0,148.0,148.0,100.0,100.0
73,136.0,0.0,136.0,0.0,100.0
74,119.0,119.0,119.0,100.0,100.0
75,121.0,121.0,121.0,100.0,100.0
76,161.0,161.0,161.0,100.0,100.0
77,355.0,0.0,0.0,0.0,0.0
78,123.0,123.0,123.0,100.0,100.0
79,130.0,130.0,165.0,100.0,78.78787878787878
80,135.99999999999997,136.0,171.0,99.99999999999997,79.53216374269005
81,134.0,134.0,134.0,100.0,100.0
82,97.0,0.0,97.0,0.0,100.0
83,79.0,79.0,79.0,100.0,100.0
84,231.0,235.0,235.0,98.29787234042553,98.29787234042553
85,103.0,103.0,300.0,100.0,34.333333333333336
86,138.0,138.0,205.0,100.0,67.31707317073172
87,128.0,0.0,128.0,0.0,100.0
88,153.0,0.0,329.0,0.0,46.504559270516715
89,161.0,161.0,191.0,100.0,84.29319371727748
90,172.0,172.0,215.0,100.0,80.0
91,145.99999999999997,146.0,146.0,99.99999999999997,99.99999999999997
92,112.0,112.0,189.0,100.0,59.25925925925925
93,171.0,171.0,173.0,100.0,98.84393063583815
94,99.99999999999999,0.0,100.0,0.0,99.99999999999999
95,175.0,175.0,198.0,100.0,88.38383838383838
96,174.0,174.0,174.0,100.0,100.0
97,271.0,0.0,343.0,0.0,79.00874635568513
98,148.0,148.0,148.0,100.0,100.0
99,142.0,142.0,142.0,100.0,100.0
100,143.0,143.0,143.0,100.0,100.0
