Instance,Classical,QAOA,ConstraintGen,QAOA_Percentage,CG_Percentage
1,89.0,0.0,89.0,0.0,100.0
2,154.0,0.0,154.0,0.0,100.0
3,194.0,194.0,252.0,100.0,76.98412698412699
4,144.0,215.0,144.0,66.97674418604652,100.0
5,104.0,0.0,316.0,0.0,32.91139240506329
6,54.0,0.0,374.0,0.0,14.43850267379679
7,91.00000000000001,0.0,91.0,0.0,100.00000000000003
8,119.0,119.0,178.0,100.0,66.85393258426966
9,261.0,0.0,407.0,0.0,64.12776412776412
10,120.0,0.0,120.0,0.0,100.0
11,168.0,0.0,0.0,0.0,0.0
12,457.0,0.0,457.0,0.0,100.0
13,244.0,311.0,244.0,78.45659163987139,100.0
14,117.0,0.0,184.0,0.0,63.58695652173913
15,64.0,64.0,156.0,100.0,41.02564102564102
16,88.0,0.0,331.0,0.0,26.586102719033235
17,214.0,0.0,214.0,0.0,100.0
18,145.0,209.0,209.0,69.377990430622,69.377990430622
19,187.0,0.0,224.0,0.0,83.48214285714286
20,141.0,0.0,178.0,0.0,79.21348314606742
